Latitude,Longitude,Magnitude,Event_Date
31.45801828,-103.5814512,1.405692583,2017-05-25
31.13631157,-103.2179505,1.977437263,2017-05-25
32.85003662,-100.9488138,1.05171666,2017-05-25
31.15723736,-103.3276234,1.677197458,2017-05-26
31.1362073,-103.3175656,1.674499229,2017-05-26
31.22417291,-103.2492411,1.855460354,2017-05-26
31.19895604,-103.2755682,1.65749849,2017-05-27
32.50946045,-97.1416492,1.792141365,2017-05-27
30.98232725,-103.4985159,1.416400067,2017-05-27
31.38815487,-103.5170349,1.373858907,2017-05-28
31.36837132,-103.4746559,0.974163694,2017-05-28
31.32747975,-103.4956097,1.577488523,2017-05-28
32.96539307,-100.908084,1.864711471,2017-05-29
31.25622793,-103.4704701,1.383659955,2017-05-29
32.49664307,-97.15451124,2.867464354,2017-05-29
32.52410889,-97.13093083,0.893820194,2017-05-29
30.97907499,-103.4466858,1.599866588,2017-05-29
31.01879144,-103.3278481,1.283988337,2017-05-30
31.04525623,-103.4466069,1.698664672,2017-05-30
32.49481201,-97.14593655,0.739528026,2017-05-31
32.83905029,-100.9681069,1.761185675,2017-05-31
32.48657227,-97.14700838,1.223400318,2017-05-31
31.44652919,-103.5766155,2.059114324,2017-06-01
31.38906565,-103.4966408,2.089038744,2017-06-01
32.49664307,-97.15022389,1.267166245,2017-06-01
32.8427124,-100.9509575,0.620508312,2017-06-01
31.45250492,-103.5631907,1.287656151,2017-06-02
32.85552979,-100.9466702,0.637207742,2017-06-03
32.84637451,-100.9509575,0.973332602,2017-06-03
32.86834717,-100.9338081,-0.207710333,2017-06-04
31.45250442,-103.5717833,1.537533084,2017-06-04
31.17934824,-103.3575561,1.86467275,2017-06-04
32.84637451,-100.9166587,0.670163888,2017-06-04
31.36057145,-103.4977331,1.283189302,2017-06-04
31.47824125,-103.5449272,1.443350047,2017-06-05
32.85461426,-100.947742,0.537715779,2017-06-05
31.36582024,-103.1226855,3.092150411,2017-06-05
32.85552979,-100.9402391,0.401886106,2017-06-06
31.57209605,-103.8659337,1.63542547,2017-06-06
32.94616699,-100.8920065,0.948655681,2017-06-06
32.87658691,-100.9734661,1.041763779,2017-06-06
30.99836384,-103.4316979,1.861479532,2017-06-07
31.3835586,-103.6039732,1.527912724,2017-06-07
32.88848877,-100.8995093,0.726972018,2017-06-07
32.51586914,-97.16415777,1.12623765,2017-06-09
36.12945557,-100.4217999,3.007420742,2017-06-09
28.33099365,-98.93072151,2.575266217,2017-06-09
31.39142027,-103.0839245,1.928212007,2017-06-09
32.85736084,-100.9445265,0.305830663,2017-06-09
32.85736084,-100.9466702,1.121629424,2017-06-10
